year, title, artist, src, genre_id
1993, Lost Wisdom, Burzum, LostWisdom.mp3, 3
1994, Nattevandring, Strid, Nattevandring.mp3, 3
1995, Depression, Abyssic Hate, Depression.mp3, 3
1996, Schatten Aus Der Alexander Welt, Bethlehem, SchattenAusDerAlexanderWelt.mp3, 3
1997, Slayer Of Lost Martyrs, Krohm, SlayerOfLostMartyrs.mp3, 3
1998, Fragments, I Shalt Become, Fragments.mp3, 3
1999, Vandrer Blandt Dødninge, Sortsind, Vandrer Blandt Dødninge.mp3, 3
2000, Betrayed, Abyssic Hate, Betrayed, 3
2001, Death - Pierce Me, Silencer, Death-PierceMe.mp3, 3
2002, Disheartenment, Forgotten Tomb, Disheartenment.mp3 , 3
2003, The Idiot Sun, Leviathan, TheIdiotSun.mp3, 3
2004, Screaming At Forgotten Tears, Xasthur, ScreamingAtForgottenTears.mp3, 3
2005, Chapter III, Make A Change... Kill Yourself, ChapterIII.mp3 , 3
2006, Total Self-Hatred, Totalselfhatered, TotalSelf-Hatred.mp3, 3
2007, Le Gala Des Gens Heureux, Gris, LeGalaDesGensHeureux.mp3, 3
2008, Tortured By Solitude, Cold World, TorturedBySolitude.mp3, 3
2009, This Dreadful Emptiness, Austere, 3
2010, We're All Better Off Dead, Nocturnal Depression, We'reAllBetterOffDead.mp3, 3
2011, Expandera, Lifelover, Expandera.mp3, 3
2012, Nostalgie I, Trist, NostalgieI.mp3, 3
2013, The Bridge, Thy Light, TheBridge.mp3, 3
2014, Useless, Sadness, Useless.mp3, 3
2015, Beware The Silence, Psychonaut 4, BewareTheSilence.mp3, 3
2016, Golden Number, Ghost Bath, GoldenNumber.mp3, 3
2017, Melancholic Overdose, My Useless Life, MelancholicOverdose.mp3, 3
2018, A Waning Silhouette, Begotten, AWaningSilhouette.mp3, 3
2019, The Damp Chill of Life, None, TheDampChillofLife.mp3, 3
2020, I Left This Life To Rot, Suizid, ILeftThisLifeToRot.mp3, 3
2021, Mental Central Dialog, Sorry..., MentalCenteralDialog.mp3, 3
2022,	Психоз, Neboplachet, Психоз.mp3, 3
2023, Abuse, Forgotten., Abuse.mp3, 3
